"FromFile","FromRole","ImportPath","IsLocal"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Cards.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Checkbox.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Code.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\CodeViewerModal.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\ColorPicker.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\ColumnCustomization.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\ColumnReordering.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\ColumnResizing.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\ConfirmationDialog.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Container.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\ContextMenu.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\DarkModeToggle.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\DataTable.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\DatePicker.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\DatePickerModal.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\DateTimePicker.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Divider.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\DropdownButton.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\EmailInput.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\EmptyState.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\ErrorBoundary.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\ErrorBoundary.jsx","COMPONENT","../utils/errorMonitoring","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\ErrorMessage.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\ErrorState.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\ExpansionRows.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\ExportCSV.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\ExportExcel.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\FileUpload.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Filtering.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\FlexboxLayout.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Footer.jsx","COMPONENT","react-router-dom","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Footer.jsx","COMPONENT","lucide-react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\FormBuilder.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\FormModal.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\FormValidation.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\GanttCharts.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Gauges.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\GridSystem.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Grouping.jsx","COMPONENT","react","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Header.jsx","COMPONENT","react-router-dom","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Header.jsx","COMPONENT","lucide-react","False"
