"Reason","CycleLength","FromFile","ToFile","CyclePath"
"HIGH_DEGREE_HUB_EDGE","5","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M281\routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M281\routes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M281\controller.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M281\service.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js"
"HIGH_DEGREE_HUB_EDGE","5","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M284\routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M284\routes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M284\controller.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M284\service.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js"
"HIGH_DEGREE_HUB_EDGE","5","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M308\routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M308\routes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M308\controller.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M308\service.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js"
"HIGH_DEGREE_HUB_EDGE","4","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\mushroomRoutes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\mushroomRoutes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\mushroomService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js"
"HIGH_DEGREE_HUB_EDGE","5","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M031\routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M031\routes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M031\controller.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M031\service.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js"
"HIGH_DEGREE_HUB_EDGE","8","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\marketIntelligenceService.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\marketIntelligenceService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\marketIntelligenceService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\pool.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ordersDomainRoutes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\orderService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js"
"HIGH_DEGREE_HUB_EDGE","5","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\fertilizerInventoryService.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M103\service.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\fertilizerInventoryService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M103\service.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\fertilizerDomainRoutes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\fertilizerInventoryService.js"
"HIGH_DEGREE_HUB_EDGE","5","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M265\routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M265\routes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M265\controller.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M265\service.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js"
"HIGH_DEGREE_HUB_EDGE","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmerFamilyRoutes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmerFamilyRoutes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\auth.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\dual-use\authService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\authService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js"
"HIGH_DEGREE_HUB_EDGE","5","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M124\routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M124\routes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M124\controller.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M124\service.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js"
