"Count","Name"
"3394509","LOCAL_RESOLVED"
"579394","EXTERNAL_PACKAGE"
"77319","DEPTH_LIMIT"
"2460","UNRESOLVED_DYNAMIC"
"2460","LOCAL_UNRESOLVED"
