"Prefix","Variable","ImportType","ImportPath","ResolvedFile","IndexLine"
"/api/v1/backend-modules/M102","finalBatchModuleM102Routes","DIRECT_REQUIRE","./modules/M102/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M102\routes.js","1150"
"/api/v1/backend-modules/M151","finalBatchModuleM151Routes","DIRECT_REQUIRE","./modules/M151/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M151\routes.js","1151"
"/api/v1/backend-modules/M201","finalBatchModuleM201Routes","DIRECT_REQUIRE","./modules/M201/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M201\routes.js","1152"
"/api/v1/backend-modules/M301","finalBatchModuleM301Routes","DIRECT_REQUIRE","./modules/M301/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M301\routes.js","1153"
"/api/v1/backend-modules/M63","finalBatchModuleM63Routes","DIRECT_REQUIRE","./modules/M63/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M63\routes.js","1154"
"/api/v1/backend-modules/M64","finalBatchModuleM64Routes","DIRECT_REQUIRE","./modules/M64/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M64\routes.js","1155"
"/api/v1/backend-modules/M65","finalBatchModuleM65Routes","DIRECT_REQUIRE","./modules/M65/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M65\routes.js","1156"
"/api/v1/backend-modules/M001","legacyModuleM001Routes","DIRECT_REQUIRE","./modules/M001/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M001\routes.js","1157"
"/api/v1/backend-modules/M016","legacyModuleM016Routes","DIRECT_REQUIRE","./modules/M016/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M016\routes.js","1158"
"/api/v1/backend-modules/M031","legacyModuleM031Routes","DIRECT_REQUIRE","./modules/M031/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M031\routes.js","1159"
"/api/v1/backend-modules/M032","legacyModuleM032Routes","DIRECT_REQUIRE","./modules/M032/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M032\routes.js","1160"
"/api/v1/backend-modules/M033","legacyModuleM033Routes","DIRECT_REQUIRE","./modules/M033/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M033\routes.js","1161"
"/api/v1/backend-modules/M034","legacyModuleM034Routes","DIRECT_REQUIRE","./modules/M034/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M034\routes.js","1162"
"/api/v1/backend-modules/M035","legacyModuleM035Routes","DIRECT_REQUIRE","./modules/M035/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M035\routes.js","1163"
"/api/v1/backend-modules/M036","legacyModuleM036Routes","DIRECT_REQUIRE","./modules/M036/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M036\routes.js","1164"
"/api/v1/backend-modules/M037","legacyModuleM037Routes","DIRECT_REQUIRE","./modules/M037/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M037\routes.js","1165"
"/api/v1/backend-modules/M038","legacyModuleM038Routes","DIRECT_REQUIRE","./modules/M038/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M038\routes.js","1166"
"/api/v1/backend-modules/M039","legacyModuleM039Routes","DIRECT_REQUIRE","./modules/M039/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M039\routes.js","1167"
"/api/v1/backend-modules/M040","legacyModuleM040Routes","DIRECT_REQUIRE","./modules/M040/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M040\routes.js","1168"
"/api/v1/backend-modules/M042","legacyModuleM042Routes","DIRECT_REQUIRE","./modules/M042/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M042\routes.js","1169"
"/api/v1/backend-modules/M043","legacyModuleM043Routes","DIRECT_REQUIRE","./modules/M043/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M043\routes.js","1170"
"/api/v1/backend-modules/M044","legacyModuleM044Routes","DIRECT_REQUIRE","./modules/M044/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M044\routes.js","1171"
"/api/v1/backend-modules/M045","legacyModuleM045Routes","DIRECT_REQUIRE","./modules/M045/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M045\routes.js","1172"
"/api/v1/backend-modules/M046","legacyModuleM046Routes","DIRECT_REQUIRE","./modules/M046/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M046\routes.js","1173"
"/api/v1/backend-modules/M047","legacyModuleM047Routes","DIRECT_REQUIRE","./modules/M047/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M047\routes.js","1174"
"/api/v1/backend-modules/M048","legacyModuleM048Routes","DIRECT_REQUIRE","./modules/M048/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M048\routes.js","1175"
"/api/v1/backend-modules/M049","legacyModuleM049Routes","DIRECT_REQUIRE","./modules/M049/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M049\routes.js","1176"
"/api/v1/backend-modules/M050","legacyModuleM050Routes","DIRECT_REQUIRE","./modules/M050/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M050\routes.js","1177"
"/api/v1/backend-modules/M051","legacyModuleM051Routes","DIRECT_REQUIRE","./modules/M051/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M051\routes.js","1178"
"/api/v1/backend-modules/M052","legacyModuleM052Routes","DIRECT_REQUIRE","./modules/M052/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M052\routes.js","1179"
"/api/v1/backend-modules/M053","legacyModuleM053Routes","DIRECT_REQUIRE","./modules/M053/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M053\routes.js","1180"
"/api/v1/backend-modules/M054","legacyModuleM054Routes","DIRECT_REQUIRE","./modules/M054/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M054\routes.js","1181"
"/api/v1/backend-modules/M055","legacyModuleM055Routes","DIRECT_REQUIRE","./modules/M055/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M055\routes.js","1182"
"/api/v1/backend-modules/M056","legacyModuleM056Routes","DIRECT_REQUIRE","./modules/M056/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M056\routes.js","1183"
"/api/v1/backend-modules/M057","legacyModuleM057Routes","DIRECT_REQUIRE","./modules/M057/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M057\routes.js","1184"
"/api/v1/backend-modules/M058","legacyModuleM058Routes","DIRECT_REQUIRE","./modules/M058/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M058\routes.js","1185"
"/api/v1/backend-modules/M059","legacyModuleM059Routes","DIRECT_REQUIRE","./modules/M059/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M059\routes.js","1186"
"/api/v1/backend-modules/M060","legacyModuleM060Routes","DIRECT_REQUIRE","./modules/M060/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M060\routes.js","1187"
"/api/v1/backend-modules/M061","legacyModuleM061Routes","DIRECT_REQUIRE","./modules/M061/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M061\routes.js","1188"
"/api/v1/backend-modules/M062","legacyModuleM062Routes","DIRECT_REQUIRE","./modules/M062/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M062\routes.js","1189"
"/api/v1/backend-modules/M063","legacyModuleM063Routes","DIRECT_REQUIRE","./modules/M063/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M063\routes.js","1190"
"/api/v1/backend-modules/M064","legacyModuleM064Routes","DIRECT_REQUIRE","./modules/M064/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M064\routes.js","1191"
"/api/v1/backend-modules/M065","legacyModuleM065Routes","DIRECT_REQUIRE","./modules/M065/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M065\routes.js","1192"
"/api/v1/backend-modules/M066","legacyModuleM066Routes","DIRECT_REQUIRE","./modules/M066/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M066\routes.js","1193"
"/api/v1/backend-modules/M067","legacyModuleM067Routes","DIRECT_REQUIRE","./modules/M067/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M067\routes.js","1194"
"/api/v1/backend-modules/M068","legacyModuleM068Routes","DIRECT_REQUIRE","./modules/M068/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M068\routes.js","1195"
"/api/v1/backend-modules/M069","legacyModuleM069Routes","DIRECT_REQUIRE","./modules/M069/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M069\routes.js","1196"
"/api/v1/backend-modules/M070","legacyModuleM070Routes","DIRECT_REQUIRE","./modules/M070/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M070\routes.js","1197"
"/api/v1/backend-modules/M071","legacyModuleM071Routes","DIRECT_REQUIRE","./modules/M071/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M071\routes.js","1198"
"/api/v1/backend-modules/M072","legacyModuleM072Routes","DIRECT_REQUIRE","./modules/M072/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M072\routes.js","1199"
"/api/v1/backend-modules/M073","legacyModuleM073Routes","DIRECT_REQUIRE","./modules/M073/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M073\routes.js","1200"
"/api/v1/backend-modules/M074","legacyModuleM074Routes","DIRECT_REQUIRE","./modules/M074/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M074\routes.js","1201"
"/api/v1/backend-modules/M075","legacyModuleM075Routes","DIRECT_REQUIRE","./modules/M075/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M075\routes.js","1202"
"/api/v1/backend-modules/M076","legacyModuleM076Routes","DIRECT_REQUIRE","./modules/M076/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M076\routes.js","1203"
"/api/v1/backend-modules/M077","legacyModuleM077Routes","DIRECT_REQUIRE","./modules/M077/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M077\routes.js","1204"
"/api/v1/backend-modules/M078","legacyModuleM078Routes","DIRECT_REQUIRE","./modules/M078/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M078\routes.js","1205"
"/api/v1/backend-modules/M079","legacyModuleM079Routes","DIRECT_REQUIRE","./modules/M079/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M079\routes.js","1206"
"/api/v1/backend-modules/M080","legacyModuleM080Routes","DIRECT_REQUIRE","./modules/M080/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M080\routes.js","1207"
"/api/v1/backend-modules/M081","legacyModuleM081Routes","DIRECT_REQUIRE","./modules/M081/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M081\routes.js","1208"
"/api/v1/backend-modules/M082","legacyModuleM082Routes","DIRECT_REQUIRE","./modules/M082/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M082\routes.js","1209"
"/api/v1/backend-modules/M083","legacyModuleM083Routes","DIRECT_REQUIRE","./modules/M083/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M083\routes.js","1210"
"/api/v1/backend-modules/M084","legacyModuleM084Routes","DIRECT_REQUIRE","./modules/M084/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M084\routes.js","1211"
