"FrontendFile","Client","Method","RawPath","DynamicClass"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","POST","/data-subjects/${id}","TEMPLATE_ID_PARAMETER"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M80\M80.jsx","fetch","DELETE","/api/v1/backend-modules/M080/${id}","TEMPLATE_ID_PARAMETER"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/jurisdictions/${id}","TEMPLATE_ID_PARAMETER"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/trending-products/${id}","TEMPLATE_ID_PARAMETER"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/environment-config/${id}","TEMPLATE_ID_PARAMETER"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M090\M090Page.jsx","fetch","GET","/api/m090?${params}","TEMPLATE_INTERPOLATION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/fertility-management/record/${id}","TEMPLATE_ID_PARAMETER"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","DELETE","/disease-forecasting/forecasts/forecast/${id}","TEMPLATE_ID_PARAMETER"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M246\M246Page.jsx","fetch","GET","/api/m246?${params}","TEMPLATE_INTERPOLATION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M307\M307Page.jsx","fetch","GET","/api/m307/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M110\M110.jsx","fetch","DELETE","/api/v1/backend-modules/M110/${id}","TEMPLATE_ID_PARAMETER"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/best-sellers/${id}","TEMPLATE_ID_PARAMETER"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M046\M046Page.jsx","fetch","GET","/api/m046/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/dairy/animal/${id}","TEMPLATE_ID_PARAMETER"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M188\M188.jsx","fetch","DELETE","/api/v1/backend-modules/M188/${id}","TEMPLATE_ID_PARAMETER"
