"FrontendFile","Client","Method","RawPath","DynamicClass","CandidatePath"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M190\M190Page.jsx","fetch","GET","/api/m190?${params}","TEMPLATE_INTERPOLATION","/api/m190"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M200\M200Page.jsx","fetch","DELETE","/api/m200/${id}","TEMPLATE_ID_PARAMETER","/api/m200/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M098\M098Page.jsx","fetch","GET","/api/m098?${params}","TEMPLATE_INTERPOLATION","/api/m098"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","POST","/comprehensive-erp/release-production-order/${id}","TEMPLATE_ID_PARAMETER","/comprehensive-erp/release-production-order/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M265\M265Page.jsx","fetch","GET","/api/m265?${params}","TEMPLATE_INTERPOLATION","/api/m265"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\artificialScientistAPI.js","api","POST","${base}/ai-assistance","TEMPLATE_INTERPOLATION","/:param/ai-assistance"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M170\M170Page.jsx","fetch","DELETE","/api/m170/${id}","TEMPLATE_ID_PARAMETER","/api/m170/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M39\M39.jsx","fetch","DELETE","/api/v1/backend-modules/M039/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M039/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\operationsApi.js","api","GET","/financial/loans/${id}/emi","TEMPLATE_ID_PARAMETER","/financial/loans/:param/emi"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M312\M312Page.jsx","fetch","DELETE","/api/m312/${id}","TEMPLATE_ID_PARAMETER","/api/m312/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M265\M265Page.jsx","fetch","DELETE","/api/m265/${id}","TEMPLATE_ID_PARAMETER","/api/m265/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M316\M316Page.jsx","fetch","GET","/api/m316?${params}","TEMPLATE_INTERPOLATION","/api/m316"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/cold-storage/temperature/${facilityId}","TEMPLATE_ID_PARAMETER","/cold-storage/temperature/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M040\M040Page.jsx","fetch","GET","/api/m040?${params}","TEMPLATE_INTERPOLATION","/api/m040"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M113\M113Page.jsx","fetch","GET","/api/m113?${params}","TEMPLATE_INTERPOLATION","/api/m113"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/company/${companyId}/fiscal-years","TEMPLATE_ID_PARAMETER","/company/:param/fiscal-years"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M143\M143Page.jsx","fetch","DELETE","/api/m143/${id}","TEMPLATE_ID_PARAMETER","/api/m143/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M034\M034Page.jsx","fetch","GET","/api/m034?${params}","TEMPLATE_INTERPOLATION","/api/m034"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/layouts/${id}","TEMPLATE_ID_PARAMETER","/layouts/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M231\M231Page.jsx","fetch","DELETE","/api/m231/${id}","TEMPLATE_ID_PARAMETER","/api/m231/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/information-sharing/document/${id}","TEMPLATE_ID_PARAMETER","/information-sharing/document/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M243\M243Page.jsx","fetch","GET","/api/m243?${params}","TEMPLATE_INTERPOLATION","/api/m243"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","DELETE","/animal-health/examination/${id}","TEMPLATE_ID_PARAMETER","/animal-health/examination/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","DELETE","/farmers/${farmerId}/fields/${fieldId}","TEMPLATE_ID_PARAMETER","/farmers/:param/fields/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","POST","/complete-ai-integration/recommend-livestock-breeding/${livestockId}","TEMPLATE_ID_PARAMETER","/complete-ai-integration/recommend-livestock-breeding/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","DELETE","/community-asset/${id}","TEMPLATE_ID_PARAMETER","/community-asset/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","POST","/data-subjects/${id}","TEMPLATE_ID_PARAMETER","/data-subjects/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M80\M80.jsx","fetch","DELETE","/api/v1/backend-modules/M080/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M080/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/jurisdictions/${id}","TEMPLATE_ID_PARAMETER","/jurisdictions/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/trending-products/${id}","TEMPLATE_ID_PARAMETER","/trending-products/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/environment-config/${id}","TEMPLATE_ID_PARAMETER","/environment-config/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M090\M090Page.jsx","fetch","GET","/api/m090?${params}","TEMPLATE_INTERPOLATION","/api/m090"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/fertility-management/record/${id}","TEMPLATE_ID_PARAMETER","/fertility-management/record/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","DELETE","/disease-forecasting/forecasts/forecast/${id}","TEMPLATE_ID_PARAMETER","/disease-forecasting/forecasts/forecast/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M246\M246Page.jsx","fetch","GET","/api/m246?${params}","TEMPLATE_INTERPOLATION","/api/m246"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M307\M307Page.jsx","fetch","GET","/api/m307/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION","/api/m307/search"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M110\M110.jsx","fetch","DELETE","/api/v1/backend-modules/M110/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M110/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/best-sellers/${id}","TEMPLATE_ID_PARAMETER","/best-sellers/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M046\M046Page.jsx","fetch","GET","/api/m046/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION","/api/m046/search"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/dairy/animal/${id}","TEMPLATE_ID_PARAMETER","/dairy/animal/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M188\M188.jsx","fetch","DELETE","/api/v1/backend-modules/M188/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M188/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M276\M276Page.jsx","fetch","GET","/api/m276?${params}","TEMPLATE_INTERPOLATION","/api/m276"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M258\M258Page.jsx","fetch","GET","/api/m258/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION","/api/m258/search"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\commerceApi.js","api","PUT","/orders/${id}/status","TEMPLATE_ID_PARAMETER","/orders/:param/status"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M274\M274Page.jsx","fetch","DELETE","/api/m274/${id}","TEMPLATE_ID_PARAMETER","/api/m274/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M226\M226Page.jsx","fetch","DELETE","/api/m226/${id}","TEMPLATE_ID_PARAMETER","/api/m226/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M200\M200Page.jsx","fetch","GET","/api/m200/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION","/api/m200/search"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/logistics-enhancement/tracking/${id}","TEMPLATE_ID_PARAMETER","/logistics-enhancement/tracking/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M042\M042Page.jsx","fetch","GET","/api/m042?${params}","TEMPLATE_INTERPOLATION","/api/m042"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M193\M193Page.jsx","fetch","GET","/api/m193/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION","/api/m193/search"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M133\M133Page.jsx","fetch","GET","/api/m133/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION","/api/m133/search"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/fish-processing/batch/${id}","TEMPLATE_ID_PARAMETER","/fish-processing/batch/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M141\M141Page.jsx","fetch","DELETE","/api/m141/${id}","TEMPLATE_ID_PARAMETER","/api/m141/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M063\M063Page.jsx","fetch","DELETE","/api/m063/${id}","TEMPLATE_ID_PARAMETER","/api/m063/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M069\M069Page.jsx","fetch","DELETE","/api/m069/${id}","TEMPLATE_ID_PARAMETER","/api/m069/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","DELETE","/role-management/role/${id}","TEMPLATE_ID_PARAMETER","/role-management/role/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M310\M310Page.jsx","fetch","GET","/api/m310?${params}","TEMPLATE_INTERPOLATION","/api/m310"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\artificialScientistAPI.js","api","POST","${base}/${entityType}/${id}/reviews","TEMPLATE_ID_PARAMETER","/:param/:param/:param/reviews"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M059\M059Page.jsx","fetch","GET","/api/m059?${params}","TEMPLATE_INTERPOLATION","/api/m059"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M161\M161Page.jsx","fetch","GET","/api/m161?${params}","TEMPLATE_INTERPOLATION","/api/m161"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AdvancedMedicalCodingPage.jsx","api","GET","/advanced-medical-coding/natural-therapist-knowledge/${condition}","TEMPLATE_INTERPOLATION","/advanced-medical-coding/natural-therapist-knowledge/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","DELETE","/sessions/${id}","TEMPLATE_ID_PARAMETER","/sessions/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M077\M077Page.jsx","fetch","GET","/api/m077?${params}","TEMPLATE_INTERPOLATION","/api/m077"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","DELETE","/farm-activity/activity/${id}","TEMPLATE_ID_PARAMETER","/farm-activity/activity/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M075\M075Page.jsx","fetch","DELETE","/api/m075/${id}","TEMPLATE_ID_PARAMETER","/api/m075/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M255\M255Page.jsx","fetch","DELETE","/api/m255/${id}","TEMPLATE_ID_PARAMETER","/api/m255/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/irrigation-system/${id}","TEMPLATE_ID_PARAMETER","/irrigation-system/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/research-development/rd-project/${projectId}","TEMPLATE_ID_PARAMETER","/research-development/rd-project/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M209\M209Page.jsx","fetch","GET","/api/m209?${params}","TEMPLATE_INTERPOLATION","/api/m209"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M257\M257Page.jsx","fetch","DELETE","/api/m257/${id}","TEMPLATE_ID_PARAMETER","/api/m257/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\componentApi.js","api","GET","/modules/${moduleId}/operations","TEMPLATE_ID_PARAMETER","/modules/:param/operations"
