"System","Path","Extension","SizeBytes","LastWriteTimeUtc"
"src-tauri","build.rs",".rs","42","30-08-2026 02:47:51"
"src-tauri","Cargo.toml",".toml","2986","30-08-2026 02:47:51"
"src-tauri","tauri.conf.json",".json","2770","30-08-2026 02:47:51"
"src-tauri","icons\README.md",".md","2148","30-08-2026 02:47:51"
"src-tauri","src\main.rs",".rs","2496","30-08-2026 02:47:51"
