"System","Path","Extension","SizeBytes","LastWriteTimeUtc"
"frontend","android\gradle\wrapper\gradle-wrapper.jar",".jar","43764","30-08-2026 02:47:51"
"frontend","android\gradle\wrapper\gradle-wrapper.properties",".properties","260","30-08-2026 02:47:51"
"frontend","public\manifest.webmanifest",".webmanifest","1257","04-08-2026 01:45:16"
"frontend","public\robots.txt",".txt","1018","30-08-2026 02:47:51"
"frontend","public\sitemap.xml",".xml","2890","30-08-2026 02:47:51"
"frontend","public\sw.js",".js","6049","04-08-2026 08:55:33"
"frontend","public\icons\icon-192.png",".png","769","04-08-2026 01:47:05"
"frontend","public\icons\icon-512.png",".png","2396","04-08-2026 01:47:05"
"frontend","public\icons\icon-maskable-512.png",".png","2194","04-08-2026 01:47:05"
"frontend","scripts\cleanup-console.js",".js","2794","30-08-2026 02:47:51"
"frontend","scripts\fix-frontend-issues.js",".js","5730","30-08-2026 02:47:51"
"frontend","scripts\link-audit.js",".js","6160","04-09-2026 06:30:47"
"frontend","src\App.jsx",".jsx","9208","04-09-2026 08:35:40"
"frontend","src\index.css",".css","11124","04-09-2026 07:08:45"
"frontend","src\main.jsx",".jsx","1011","04-09-2026 08:35:40"
"frontend","src\components\AdvancedPageShell.jsx",".jsx","10982","04-09-2026 08:35:40"
"frontend","src\components\AIImageGenerator.jsx",".jsx","6132","04-09-2026 19:35:54"
"frontend","src\components\AIImageGenerator.module.css",".css","3844","04-09-2026 19:30:14"
"frontend","src\components\BottomNav.jsx",".jsx","1648","04-09-2026 08:35:40"
"frontend","src\components\ErrorBoundary.jsx",".jsx","3426","04-09-2026 08:35:40"
"frontend","src\components\Footer.jsx",".jsx","5525","04-09-2026 08:35:40"
"frontend","src\components\Header.jsx",".jsx","41911","04-09-2026 13:18:15"
"frontend","src\components\Layout.jsx",".jsx","3552","04-09-2026 08:35:40"
"frontend","src\components\MobileOptimizedLayout.jsx",".jsx","2512","04-09-2026 08:35:40"
"frontend","src\components\NotificationBell.jsx",".jsx","5779","04-09-2026 08:35:40"
"frontend","src\components\PlaceholderPage.jsx",".jsx","265","04-09-2026 08:35:40"
"frontend","src\components\ProtectedRoute.jsx",".jsx","447","04-09-2026 08:35:40"
"frontend","src\components\RouteAnalytics.jsx",".jsx","9464","04-09-2026 08:35:40"
"frontend","src\components\RouteErrorBoundary.jsx",".jsx","11178","04-09-2026 08:35:40"
"frontend","src\components\RouteGuard.jsx",".jsx","6581","04-09-2026 08:35:40"
"frontend","src\components\RouteLoading.jsx",".jsx","5220","04-09-2026 08:35:40"
"frontend","src\components\RouteTransition.jsx",".jsx","2791","04-09-2026 08:35:40"
"frontend","src\components\Sidebar.jsx",".jsx","11887","04-09-2026 08:35:40"
"frontend","src\components\Accessibility\AccessibilityEnhancements.jsx",".jsx","14971","04-09-2026 08:35:40"
"frontend","src\components\Accessibility\AccessibilityProvider.jsx",".jsx","4781","04-09-2026 08:35:40"
"frontend","src\components\AdvancedUIPatterns\AdvancedUIPatterns.jsx",".jsx","21261","04-09-2026 08:35:40"
"frontend","src\components\AI\AIChat.jsx",".jsx","15064","04-09-2026 08:35:40"
"frontend","src\components\AI\AICollaborationDashboard.jsx",".jsx","14787","04-09-2026 08:35:40"
"frontend","src\components\AI\CopilotChat.jsx",".jsx","13105","04-09-2026 08:35:40"
"frontend","src\components\ArVr\ExperienceViewer.jsx",".jsx","8431","04-09-2026 08:35:40"
"frontend","src\components\Atomic\Avatar.jsx",".jsx","134","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Badge.jsx",".jsx","132","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Button.jsx",".jsx","134","03-09-2026 03:42:38"
"frontend","src\components\Atomic\ButtonGroup.jsx",".jsx","144","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Checkbox.jsx",".jsx","138","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Chip.jsx",".jsx","130","03-09-2026 03:42:38"
"frontend","src\components\Atomic\ColorPicker.jsx",".jsx","144","03-09-2026 03:42:38"
"frontend","src\components\Atomic\DatePicker.jsx",".jsx","142","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Divider.jsx",".jsx","136","03-09-2026 03:42:38"
"frontend","src\components\Atomic\EmailInput.jsx",".jsx","142","03-09-2026 03:42:38"
"frontend","src\components\Atomic\FileUpload.jsx",".jsx","142","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Icon.jsx",".jsx","130","03-09-2026 03:42:38"
"frontend","src\components\Atomic\IconButton.jsx",".jsx","142","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Label.jsx",".jsx","132","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Link.jsx",".jsx","130","03-09-2026 03:42:38"
"frontend","src\components\Atomic\MultiSelect.jsx",".jsx","144","03-09-2026 03:42:38"
"frontend","src\components\Atomic\NumberInput.jsx",".jsx","144","03-09-2026 03:42:38"
"frontend","src\components\Atomic\PasswordInput.jsx",".jsx","148","03-09-2026 03:42:38"
"frontend","src\components\Atomic\ProgressBar.jsx",".jsx","144","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Radio.jsx",".jsx","132","03-09-2026 03:42:38"
"frontend","src\components\Atomic\RangeSlider.jsx",".jsx","144","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Select.jsx",".jsx","134","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Skeleton.jsx",".jsx","138","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Spacer.jsx",".jsx","134","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Spinner.jsx",".jsx","136","03-09-2026 03:42:38"
"frontend","src\components\Atomic\StatusIndicator.jsx",".jsx","152","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Tag.jsx",".jsx","128","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Textarea.jsx",".jsx","138","03-09-2026 03:42:38"
"frontend","src\components\Atomic\TextInput.jsx",".jsx","140","03-09-2026 03:42:38"
"frontend","src\components\Atomic\TimePicker.jsx",".jsx","142","03-09-2026 03:42:38"
"frontend","src\components\Atomic\Toggle.jsx",".jsx","134","03-09-2026 03:42:38"
"frontend","src\components\BlockchainTraceability\TraceabilityViewer.jsx",".jsx","8507","04-09-2026 08:35:40"
"frontend","src\components\common\ActionCard.jsx",".jsx","3733","04-09-2026 08:35:40"
"frontend","src\components\common\DataPrimitives.jsx",".jsx","13913","04-09-2026 08:35:40"
"frontend","src\components\common\JourneyStepper.jsx",".jsx","1934","04-09-2026 08:35:40"
"frontend","src\components\common\Modal.jsx",".jsx","2369","04-09-2026 08:35:40"
"frontend","src\components\common\ModuleOperationPanel.jsx",".jsx","4473","04-09-2026 08:35:40"
"frontend","src\components\common\ResourceManager.jsx",".jsx","12751","04-09-2026 08:35:40"
"frontend","src\components\ConsumerHealth\HealthDashboard.jsx",".jsx","7044","04-09-2026 08:35:40"
"frontend","src\components\ConversationalAI\ChatInterface.jsx",".jsx","8266","04-09-2026 08:35:40"
"frontend","src\components\Display\Component0.jsx",".jsx","126","03-09-2026 03:42:38"
"frontend","src\components\Display\Component1.jsx",".jsx","126","03-09-2026 03:42:38"
"frontend","src\components\Display\Component10.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component11.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component12.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component13.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component14.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component15.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component16.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component17.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component18.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component19.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component2.jsx",".jsx","126","03-09-2026 03:42:38"
"frontend","src\components\Display\Component20.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component21.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component22.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component23.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component24.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component25.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component26.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component27.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component28.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component29.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component3.jsx",".jsx","126","03-09-2026 03:42:38"
"frontend","src\components\Display\Component30.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component31.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component32.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component33.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component34.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component35.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component36.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component37.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component38.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component39.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component4.jsx",".jsx","126","03-09-2026 03:42:38"
"frontend","src\components\Display\Component40.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component41.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component42.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component43.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component44.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component45.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component46.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component47.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component48.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component49.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component5.jsx",".jsx","126","03-09-2026 03:42:38"
"frontend","src\components\Display\Component50.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component51.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component52.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component53.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component54.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component55.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component56.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component57.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component58.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component59.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component6.jsx",".jsx","126","03-09-2026 03:42:38"
"frontend","src\components\Display\Component60.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component61.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component62.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component63.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component64.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component65.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component66.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component67.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component68.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component69.jsx",".jsx","127","03-09-2026 03:42:38"
"frontend","src\components\Display\Component7.jsx",".jsx","126","03-09-2026 03:42:38"
