"Resolution","ExpandedOccurrences","UniquePhysicalEdges"
"EXTERNAL_PACKAGE","579394","943"
"UNRESOLVED_DYNAMIC","2460","4"
"DEPTH_LIMIT","77319","69"
"LOCAL_UNRESOLVED","2460","4"
"LOCAL_RESOLVED","3394509","5521"
