"Region","Count"
"6001-6500","170"
"3001-3500","161"
"2001-2500","131"
"1-500","127"
"6501-7000","112"
"2501-3000","100"
"1501-2000","83"
"5501-6000","71"
"1001-1500","71"
"3501-4000","59"
"501-1000","58"
"4501-5000","29"
"4001-4500","20"
"5001-5500","17"
