"Count","Method","RouteFamily","Files"
"1","POST","/seller-verifications/:param/verify","1"
"1","DELETE","/soil-health/card/:param","1"
"1","DELETE","/api/m089/:param","1"
"1","GET","/api/m039/search","1"
"1","PUT","/orchard/orchard/:param","1"
"1","PUT","/disease-forecasting/forecasts/forecast/:param","1"
"1","GET","/api/m074","1"
"1","GET","/api/m067/search","1"
"1","GET","/api/m119","1"
"1","GET","/api/m064","1"
"1","GET","/api/m181","1"
"1","DELETE","/api/m108/:param","1"
"1","GET","/api/m177","1"
"1","GET","/api/m278/search","1"
"1","DELETE","/nursery/nursery/:param","1"
"1","DELETE","/api/m199/:param","1"
"1","GET","/api/m283/search","1"
"1","GET","/api/m113","1"
"1","GET","/api/m309/search","1"
"1","PUT","/climate-risk/assessments/assessment/:param","1"
"1","GET","/api/m148","1"
"1","GET","/api/m101/search","1"
"1","PUT","/throttling-rules/:param","1"
"1","GET","/best-sellers/:param","1"
"1","DELETE","/api/m279/:param","1"
"1","DELETE","/dairy/animal/:param","1"
"1","GET","/api/m078","1"
"1","DELETE","/api/m117/:param","1"
"1","GET","/api/m225/search","1"
"1","DELETE","/land/parcel/:param","1"
"1","DELETE","/api/m116/:param","1"
"1","GET","/sap-module-architecture/module/:param/dependencies","1"
"1","PUT","/sheep-farming/animal/:param","1"
"1","DELETE","/api/m195/:param","1"
"1","GET","/tracing/traces/:param","1"
"1","GET","/auctions/:param","1"
"1","DELETE","/fish-health/record/:param","1"
"1","DELETE","/api/m054/:param","1"
"1","GET","/api/m142","1"
"1","DELETE","/api/m223/:param","1"
"1","GET","/api/m335","1"
"1","POST","/isolation-policies/:param/isolate","1"
"1","POST","/connectors/:param/connect","1"
"1","GET","/api/m185/search","1"
"1","GET","/api/m161/search","1"
"1","POST","/cost-control/budget/:param/submit","1"
"1","DELETE","/digital-identity/identity/:param","1"
"1","DELETE","/api/m242/:param","1"
"1","PUT","/hatchery-management/batch/:param","1"
"1","GET","/api/m195/search","1"
"1","GET","/api/m175","1"
"1","GET","/api/m057","1"
"1","GET","/api/m181/search","1"
"1","GET","/api/m079","1"
"1","DELETE","/api/m290/:param","1"
"1","PUT","/istio-configs/:param","1"
"1","GET","/farmers/:param/certifications","1"
"1","POST","/disseminators/:param","1"
"1","GET","/api/m323","1"
"1","GET","/api/m340","1"
"1","DELETE","/api/m036/:param","1"
"1","GET","/api/m330","1"
"1","POST","/purge/:param/:param","1"
"1","DELETE","/api/m150/:param","1"
"1","DELETE","/api/m322/:param","1"
"1","DELETE","/api/m193/:param","1"
"1","POST","/complete-ai-integration/optimize-sheep-production/:param","1"
"1","GET","/api/m170","1"
"1","GET","/api/m049","1"
"1","GET","/api/m233/search","1"
"1","GET","/profiling/profiles/:param","1"
"1","PUT","/logistics-enhancement/vehicle/:param","1"
"1","POST","/complete-ai-integration/monitor-poultry-health/:param","1"
"1","POST","/processes/:param/start","1"
"1","GET","/api/m153","1"
"1","GET","/sap-module-architecture/module/:param/mta-descriptor","1"
"1","DELETE","/api/m079/:param","1"
"1","GET","/api/m121","1"
"1","POST","/seeds/:param/run","1"
"1","GET","/api/m259/search","1"
"1","DELETE","/api/m202/:param","1"
"1","PUT","/producer-group/:param","1"
"1","POST","/asset-accounting/asset/:param/post-depreciation","1"
"1","GET","/api/m262/search","1"
"1","GET","/cold-storage/temperature/:param","1"
"1","DELETE","/api/m326/:param","1"
"1","GET","/ai/library-workspace/files/:param","1"
"1","DELETE","/api/m287/:param","1"
"1","POST","/addons/:param/install","1"
"1","POST","/robotics/devices/:param/telemetry","1"
"1","POST","/dairy-ai/optimize-feed-composition/:param","1"
"1","GET","/api/m145","1"
"1","GET","/api/m038","1"
"1","POST","/robotics/devices/:param/emergency-stop/clear","1"
"1","PUT","/input-distribution/record/:param","1"
"1","POST","/recovery-points/:param/restore","1"
"1","GET","/api/m329","1"
"1","DELETE","/modules/:param/:param","1"
"1","GET","/api/m044","1"
"1","GET","/api/m243/search","1"
"1","DELETE","/api/m187/:param","1"
"1","GET","/api/m276","1"
"1","GET","/logistics/shipments/:param/tracking","1"
"1","DELETE","/api/m044/:param","1"
"1","POST","/orders/:param/cancel","1"
"1","GET","/api/m052/search","1"
"1","DELETE","/api/m292/:param","1"
"1","DELETE","/api/m226/:param","1"
"1","GET","/api/m236","1"
"1","GET","/engineering-project/project/:param/cost-estimates","1"
"1","DELETE","/api/m252/:param","1"
"1","POST","/robotics/devices/:param/certification","1"
"1","DELETE","/api/m283/:param","1"
"1","GET","/tenants/:param","1"
"1","DELETE","/pig-farming/animal/:param","1"
"1","DELETE","/api/m057/:param","1"
"1","GET","/api/m220","1"
"1","GET","/api/m240","1"
"1","GET","/associations/:param","1"
"1","GET","/api/m036","1"
"1","DELETE","/api/m082/:param","1"
"1","DELETE","/input-consumption/record/:param","1"
"1","DELETE","/api/m327/:param","1"
"1","PUT","/preventive-maintenance/record/:param","1"
"1","DELETE","/api/m302/:param","1"
"1","DELETE","/api/m066/:param","1"
"1","PUT","/nutrient-management/plan/:param","1"
"1","GET","/api/m289","1"
"1","GET","/api/m108/search","1"
"1","POST","/seed-vault/:param/record-usage","1"
"1","DELETE","/api/m121/:param","1"
"1","PUT","/engineering-project/project/:param/phase","1"
"1","DELETE","/api/m134/:param","1"
"1","GET","/api/m298","1"
"1","DELETE","/api/m092/:param","1"
"1","GET","/api/m205/search","1"
"1","PUT","/fisheries-harvest/harvest/:param","1"
"1","GET","/api/m311/search","1"
"1","GET","/api/m281","1"
"1","POST","/complete-erp-integration/sync-poultry-production/:param","1"
"1","GET","/api/m211/search","1"
"1","GET","/api/m037/search","1"
"1","DELETE","/api/m285/:param","1"
"1","GET","/api/m287","1"
"1","PUT","/widgets/:param","1"
"1","GET","/history/:param/:param/:param","1"
"1","DELETE","/api/m221/:param","1"
"1","GET","/api/m097/search","1"
"1","GET","/api/m127","1"
"1","POST","/api/farmer/portfolio/products/:param/generate-images","1"
"1","DELETE","/api/m109/:param","1"
"1","GET","/api/m126/search","1"
"1","DELETE","/api/m129/:param","1"
"1","DELETE","/api/m039/:param","1"
"1","GET","/api/m083/search","1"
"1","GET","/api/m092","1"
"1","GET","/logistics/shipments/:param/temperature","1"
"1","DELETE","/api/m182/:param","1"
"1","POST","/robotics/missions/:param/approval","1"
"1","PUT","/farm-productivity/metric/:param","1"
"1","GET","/api/m230/search","1"
"1","GET","/forms/:param","1"
"1","DELETE","/api/m050/:param","1"
"1","DELETE","/api/m295/:param","1"
"1","PUT","/machinery-operations/operation/:param","1"
"1","GET","/api/m114/search","1"
"1","GET","/api/m187","1"
"1","DELETE","/api/m139/:param","1"
"1","GET","/sap-module-architecture/module/:param","1"
"1","DELETE","/api/m271/:param","1"
"1","DELETE","/fisheries-water-quality/reading/:param","1"
"1","GET","/warehouses/:param/stock","1"
"1","GET","/api/m072/search","1"
"1","DELETE","/land-lease/lease/:param","1"
"1","GET","/api/m174/search","1"
"1","GET","/api/m240/search","1"
"1","DELETE","/api/m075/:param","1"
"1","GET","/api/m204/search","1"
"1","GET","/api/m307/search","1"
"1","GET","/api/m158/search","1"
"1","GET","/insurance/policies/:param","1"
"1","PUT","/fish-feed/log/:param","1"
"1","GET","/api/m339/search","1"
"1","DELETE","/sheep/animal/:param","1"
"1","POST","/ai/agents/:param/execute","1"
"1","DELETE","/farmer-health/record/:param","1"
"1","POST","/return-load-board/posting/:param/cancel","1"
"1","POST","/ai/product-media-ai/products/:param/cartoon","1"
"1","DELETE","/api/m309/:param","1"
"1","DELETE","/api/m240/:param","1"
"1","PUT","/routes/:param","1"
"1","DELETE","/api/m052/:param","1"
"1","GET","/api/m166/search","1"
"1","GET","/api/ai/optimizations/:param","1"
"1","PUT","/cold-fish-chain/shipment/:param","1"
"1","GET","/gift-cards/:param","1"
"1","PUT","/input-traceability/record/:param","1"
"1","DELETE","/api/m323/:param","1"
"1","GET","/api/m171/search","1"
"1","GET","/api/m342/search","1"
"1","GET","/api/m207/search","1"
"1","GET","/api/m249/search","1"
"1","DELETE","/api/m214/:param","1"
"1","PUT","/ai/copilot/session/:param/close","1"
"1","GET","/api/m167/search","1"
"1","DELETE","/api/m103/:param","1"
"1","POST","/daos/:param/participate","1"
"1","GET","/api/m165","1"
"1","DELETE","/api/m284/:param","1"
