"FromFile","ToFile","ImportPath","Occurrences","MinDepth","FromRole","ToRole","FromLines","FromPathClass"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\service.js","","","313","13","SERVICE","","309","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\realtimeMonitoringService.js","","","313","13","SERVICE","","574","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M082\service.js","","","313","13","SERVICE","","243","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\cache.js","","","313","13","CACHE_REDIS","","111","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\nutritionIntelligenceService.js","","","894","13","SERVICE","","1213","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\pool.js","","","16689","13","DATABASE_LAYER","","2279","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\utils\logger.js","","","29147","13","OTHER","","222","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M101\service.js","","","313","13","SERVICE","","35","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M016\service.js","","","313","13","SERVICE","","525","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\dual-use\authService.js","","","1","13","MIDDLEWARE_OR_AUTH","","8","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\aiService\recommendationEngine.js","","","313","13","SERVICE","","102","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M002\service.js","","","313","13","SERVICE","","282","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\auth.js","","","54","13","MIDDLEWARE_OR_AUTH","","225","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\outcomeResolver.js","","","312","13","OTHER","","284","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\aiCopilotService.js","","","313","13","SERVICE","","701","PRODUCTION_OR_REVIEW"
