"SourceLine","Method","Path","SourceText","Extraction"
"126","GET","/ai-brain/memory-state","getMemoryState: () => api.get('/ai-brain/memory-state'),","DIRECT_SAME_LINE"
"127","POST","/ai-brain/attention","processAttention: (data) => api.post('/ai-brain/attention', data),","DIRECT_SAME_LINE"
"128","POST","/ai-brain/decision","processDecision: (data) => api.post('/ai-brain/decision', data),","DIRECT_SAME_LINE"
"129","POST","/ai-brain/learning","processLearning: (data) => api.post('/ai-brain/learning', data),","DIRECT_SAME_LINE"
"130","POST","/ai-brain/perception","processPerception: (data) => api.post('/ai-brain/perception', data),","DIRECT_SAME_LINE"
"131","POST","/ai-brain/planning","processPlanning: (data) => api.post('/ai-brain/planning', data),","DIRECT_SAME_LINE"
"132","POST","/ai-brain/reasoning","processReasoning: (data) => api.post('/ai-brain/reasoning', data),","DIRECT_SAME_LINE"
"133","GET","/ai-brain/cognitive-state","getCognitiveState: () => api.get('/ai-brain/cognitive-state'),","DIRECT_SAME_LINE"
"137","POST","/ai/recommendations","getRecommendations: (context) => api.post('/ai/recommendations', context),","DIRECT_SAME_LINE"
"138","POST","/ai/insights","getInsights: (data) => api.post('/ai/insights', data),","DIRECT_SAME_LINE"
"140","POST","/ai/copilot/session","createSession: (copilotType, context = {}, sessionMetadata = {}) => api.post('/ai/copilot/session', {","DIRECT_SAME_LINE"
"145","POST","/ai/copilot/session/${sessionId}/message","sendMessage: (sessionId, message, context = {}) => api.post(`/ai/copilot/session/${sessionId}/message`, {","DIRECT_SAME_LINE"
"149","GET","/ai/copilot/session/${sessionId}/history","getMessages: (sessionId) => api.get(`/ai/copilot/session/${sessionId}/history`),","DIRECT_SAME_LINE"
"150","GET","/ai/copilot/sessions","getSessionHistory: (copilotType) => api.get('/ai/copilot/sessions', {","DIRECT_SAME_LINE"
"153","PUT","/ai/copilot/session/${sessionId}/close","closeSession: (sessionId) => api.put(`/ai/copilot/session/${sessionId}/close`),","DIRECT_SAME_LINE"
"154","GET","/ai/copilot/analytics","getAnalytics: () => api.get('/ai/copilot/analytics'),","DIRECT_SAME_LINE"
"159","GET","/ai-gateway/health","getGatewayStatus: () => api.get('/ai-gateway/health'),","DIRECT_SAME_LINE"
"160","GET","/ai-gateway/providers","getProviders: () => api.get('/ai-gateway/providers'),","DIRECT_SAME_LINE"
"161","GET","/ai-gateway/statistics","getStatistics: () => api.get('/ai-gateway/statistics'),","DIRECT_SAME_LINE"
"162","GET","/ai-gateway/models/${encodeURIComponent(provider)}","getModels: (provider) => api.get(`/ai-gateway/models/${encodeURIComponent(provider)}`),","DIRECT_SAME_LINE"
"163","POST","/ai-gateway/chat","routeRequest: (data) => api.post('/ai-gateway/chat', data),","DIRECT_SAME_LINE"
"167","GET","/ai/cluster/status","getClusterStatus: () => api.get('/ai/cluster/status'),","DIRECT_SAME_LINE"
"168","PUT","/ai/cluster/config","configureCluster: (data) => api.put('/ai/cluster/config', data),","DIRECT_SAME_LINE"
"172","GET","/ai/fabric/status","getFabricStatus: () => api.get('/ai/fabric/status'),","DIRECT_SAME_LINE"
"173","POST","/ai/fabric/weave","weaveConnections: (data) => api.post('/ai/fabric/weave', data),","DIRECT_SAME_LINE"
"177","GET","/ai/collaboration/sessions","getCollaborationSessions: () => api.get('/ai/collaboration/sessions'),","DIRECT_SAME_LINE"
"178","POST","/ai/collaboration/start","startCollaboration: (data) => api.post('/ai/collaboration/start', data),","DIRECT_SAME_LINE"
"182","GET","/ai/coordinator/status","getCoordinatorStatus: () => api.get('/ai/coordinator/status'),","DIRECT_SAME_LINE"
"183","POST","/ai/coordinator/coordinate","coordinateAgents: (data) => api.post('/ai/coordinator/coordinate', data),","DIRECT_SAME_LINE"
"187","POST","/ai/copilot/suggestions","getCopilotSuggestions: (context) => api.post('/ai/copilot/suggestions', context),","DIRECT_SAME_LINE"
"188","POST","/ai/copilot/actions","getCopilotActions: (context) => api.post('/ai/copilot/actions', context),","DIRECT_SAME_LINE"
"192","GET","/ai/decisions","getDecisions: () => api.get('/ai/decisions'),","DIRECT_SAME_LINE"
"193","POST","/ai/decisions/make","makeDecision: (data) => api.post('/ai/decisions/make', data),","DIRECT_SAME_LINE"
"197","GET","/ai/optimizations","getOptimizations: () => api.get('/ai/optimizations'),","DIRECT_SAME_LINE"
"198","POST","/ai/optimizations/run","runOptimization: (data) => api.post('/ai/optimizations/run', data),","DIRECT_SAME_LINE"
"202","GET","/ai/recovery/status","getRecoveryStatus: () => api.get('/ai/recovery/status'),","DIRECT_SAME_LINE"
"203","POST","/ai/recovery/initiate","initiateRecovery: (data) => api.post('/ai/recovery/initiate', data),","DIRECT_SAME_LINE"
"207","GET","/ai/strategies","getStrategies: () => api.get('/ai/strategies'),","DIRECT_SAME_LINE"
"208","POST","/ai/strategies/${id}/execute","executeStrategy: (id, data) => api.post(`/ai/strategies/${id}/execute`, data),","DIRECT_SAME_LINE"
"212","GET","/ai/providers","getProviders: () => api.get('/ai/providers'),","DIRECT_SAME_LINE"
"213","PUT","/ai/providers/${id}","configureProvider: (id, data) => api.put(`/ai/providers/${id}`, data),","DIRECT_SAME_LINE"
"217","POST","/library/search","searchLibrary: (query) => api.post('/library/search', query),","DIRECT_SAME_LINE"
"218","GET","/library/cards/${id}","getLibraryCard: (id) => api.get(`/library/cards/${id}`),","DIRECT_SAME_LINE"
"222","POST","/library/advanced-search","advancedSearch: (query) => api.post('/library/advanced-search', query),","DIRECT_SAME_LINE"
"223","POST","/library/recommendations","getRecommendations: (context) => api.post('/library/recommendations', context),","DIRECT_SAME_LINE"
"227","GET","/gdpr/status","getGDPRStatus: () => api.get('/gdpr/status'),","DIRECT_SAME_LINE"
"228","POST","/gdpr/request","processRequest: (data) => api.post('/gdpr/request', data),","DIRECT_SAME_LINE"
"232","POST","/mfa/setup","setup: () => api.post('/mfa/setup'),","DIRECT_SAME_LINE"
"233","POST","/mfa/verify","verify: (userId, token) => api.post('/mfa/verify', { userId, token }),","DIRECT_SAME_LINE"
"237","GET","/sessions","getSessions: () => api.get('/sessions'),","DIRECT_SAME_LINE"
"238","POST","/sessions","createSession: (data) => api.post('/sessions', data),","DIRECT_SAME_LINE"
"239","DELETE","/sessions/${id}","invalidateSession: (id) => api.delete(`/sessions/${id}`),","DIRECT_SAME_LINE"
"243","GET","/config","getConfig: () => api.get('/config'),","DIRECT_SAME_LINE"
"244","PUT","/config","updateConfig: (data) => api.put('/config', data),","DIRECT_SAME_LINE"
"248","GET","/ai/gateway/config","getGatewayConfig: () => api.get('/ai/gateway/config'),","DIRECT_SAME_LINE"
"249","PUT","/ai/gateway/config","updateGatewayConfig: (data) => api.put('/ai/gateway/config', data),","DIRECT_SAME_LINE"
"253","GET","/platform-core/health","getHealth: () => api.get('/platform-core/health'),","DIRECT_SAME_LINE"
"254","GET","/platform-core/scaling-recommendations","getScalingRecommendations: () => api.get('/platform-core/scaling-recommendations'),","DIRECT_SAME_LINE"
"258","GET","/agricultural-intelligence","getIntelligenceData: () => api.get('/agricultural-intelligence'),","DIRECT_SAME_LINE"
"259","POST","/agricultural-intelligence/analyze","analyzeCropData: (data) => api.post('/agricultural-intelligence/analyze', data),","DIRECT_SAME_LINE"
"260","GET","/agricultural-intelligence/health","healthCheck: () => api.get('/agricultural-intelligence/health'),","DIRECT_SAME_LINE"
"261","POST","/agricultural-intelligence/analyze-soil","analyzeSoil: (data) => api.post('/agricultural-intelligence/analyze-soil', data),","DIRECT_SAME_LINE"
"262","POST","/agricultural-intelligence/optimize-irrigation","optimizeIrrigation: (data) => api.post('/agricultural-intelligence/optimize-irrigation', data),","DIRECT_SAME_LINE"
"263","POST","/agricultural-intelligence/predict-crop-yield","predictCropYield: (data) => api.post('/agricultural-intelligence/predict-crop-yield', data),","DIRECT_SAME_LINE"
"264","POST","/agricultural-intelligence/predict-pest-outbreak","predictPestOutbreak: (data) => api.post('/agricultural-intelligence/predict-pest-outbreak', data),","DIRECT_SAME_LINE"
"265","POST","/agricultural-intelligence/recommend-crops","recommendCrops: (data) => api.post('/agricultural-intelligence/recommend-crops', data),","DIRECT_SAME_LINE"
"266","POST","/agricultural-intelligence/recommend-fertilizer","recommendFertilizer: (data) => api.post('/agricultural-intelligence/recommend-fertilizer', data),","DIRECT_SAME_LINE"
"267","GET","/agricultural-intelligence/analytics","getAgriculturalAnalytics: (params) => api.get('/agricultural-intelligence/analytics', { params }),","DIRECT_SAME_LINE"
"268","GET","/agricultural-intelligence/weather","getWeatherIntelligence: (location, timeframe) => api.get('/agricultural-intelligence/weather', { params: { location, timeframe } }),","DIRECT_SAME_LINE"
"272","GET","/advanced-features","getFeatures: () => api.get('/advanced-features'),","DIRECT_SAME_LINE"
"273","POST","/advanced-features/${id}/enable","enableFeature: (id) => api.post(`/advanced-features/${id}/enable`),","DIRECT_SAME_LINE"
"277","GET","/advanced-ai","getAdvancedAICapabilities: () => api.get('/advanced-ai'),","DIRECT_SAME_LINE"
"278","POST","/advanced-ai/run","runAdvancedAI: (data) => api.post('/advanced-ai/run', data),","DIRECT_SAME_LINE"
"282","GET","/food-intelligence","getFoodData: () => api.get('/food-intelligence'),","DIRECT_SAME_LINE"
"283","POST","/food-intelligence/analyze","analyzeFoodSupply: (data) => api.post('/food-intelligence/analyze', data),","DIRECT_SAME_LINE"
"287","POST","/energy/calculator","calculateEnergyCost: (data) => api.post('/energy/calculator', data),","DIRECT_SAME_LINE"
"288","GET","/energy/rates","getEnergyRates: () => api.get('/energy/rates'),","DIRECT_SAME_LINE"
"292","GET","/ecommerce/ai/insights","getEcommerceAIInsights: () => api.get('/ecommerce/ai/insights'),","DIRECT_SAME_LINE"
"293","POST","/ecommerce/ai/recommendations","generateRecommendations: (data) => api.post('/ecommerce/ai/recommendations', data),","DIRECT_SAME_LINE"
"294","GET","/ecommerce-ai/market-basket","analyzeMarketBasket: (categoryId) => api.get('/ecommerce-ai/market-basket', { params: { categoryId } }),","DIRECT_SAME_LINE"
"295","GET","/ecommerce-ai/predict-sales","predictSales: (categoryId, periodDays) => api.get('/ecommerce-ai/predict-sales', { params: { categoryId, periodDays } }),","DIRECT_SAME_LINE"
"296","GET","/ecommerce-ai/segment-customers/behavioral","segmentCustomersBehavioral: () => api.get('/ecommerce-ai/segment-customers/behavioral'),","DIRECT_SAME_LINE"
"297","GET","/ecommerce-ai/segment-customers/rfm","segmentCustomersRFM: () => api.get('/ecommerce-ai/segment-customers/rfm'),","DIRECT_SAME_LINE"
