"Area","Files","Directories"
"01_MODULE_CARDS","150","0"
"05_RECOVERY_CARDS","150","0"
"04_VARIANT_CARDS","171","0"
"10_UNRESOLVED","53","0"
"13_RECONCILIATION","6","4"
