"Project","BackendPackage","BackendName","FrontendPackage","FrontendName","Compose"
"ROOT_MAIN","True","afrera-backend","True","afrera-frontend","True"
"ACTIVE_PROJECT","False","","False","","True"
"UNIFIED_PROJECT","False","","False","","True"
"MERGE_LAB","False","","False","","False"
"GITHUB_PROJECT_COPY","True","afrera-backend","True","afrera-frontend","True"
