"Project","Path","Exists","OwnDotGit","Registered","ParentGitTop","Classification"
"ROOT_MAIN","C:\Users\DIYA GOEL\Downloads\EBDESIGN","True","True","True","C:\Users\DIYA GOEL\Downloads\EBDESIGN","REGISTERED_GIT_WORKTREE"
"ACTIVE_PROJECT","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_ACTIVE_PROJECT\current","True","False","False","C:\Users\DIYA GOEL\Downloads\EBDESIGN","CONTAINED_IN_PARENT_GIT_REPOSITORY"
"UNIFIED_PROJECT","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_UNIFIED_PROJECT\current","True","False","False","C:\Users\DIYA GOEL\Downloads\EBDESIGN","CONTAINED_IN_PARENT_GIT_REPOSITORY"
"MERGE_LAB","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_MERGE_LAB","True","False","False","C:\Users\DIYA GOEL\Downloads\EBDESIGN","CONTAINED_IN_PARENT_GIT_REPOSITORY"
"GITHUB_PROJECT_COPY","C:\Users\DIYA GOEL\Downloads\EBDESIGN\New folder\GitHub\AFRERA-EBDESIGN-project","True","True","False","C:\Users\DIYA GOEL\Downloads\EBDESIGN\New folder\GitHub\AFRERA-EBDESIGN-project","OWN_GIT_REPOSITORY_OR_WORKTREE"
