"Prefix","Variable","ImportPath","ResolvedFile","Exists","IndexLine"
"/api/v1/backend-modules/M63","finalBatchModuleM63Routes","./modules/M63/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M63\routes.js","True","1154"
"/api/v1/backend-modules/M64","finalBatchModuleM64Routes","./modules/M64/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M64\routes.js","True","1155"
"/api/v1/backend-modules/M65","finalBatchModuleM65Routes","./modules/M65/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M65\routes.js","True","1156"
"/api/v1/backend-modules/M001","legacyModuleM001Routes","./modules/M001/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M001\routes.js","True","1157"
"/api/v1/backend-modules/M016","legacyModuleM016Routes","./modules/M016/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M016\routes.js","True","1158"
"/api/v1/backend-modules/M031","legacyModuleM031Routes","./modules/M031/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M031\routes.js","True","1159"
"/api/v1/backend-modules/M032","legacyModuleM032Routes","./modules/M032/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M032\routes.js","True","1160"
"/api/v1/backend-modules/M033","legacyModuleM033Routes","./modules/M033/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M033\routes.js","True","1161"
"/api/v1/backend-modules/M034","legacyModuleM034Routes","./modules/M034/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M034\routes.js","True","1162"
"/api/v1/backend-modules/M035","legacyModuleM035Routes","./modules/M035/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M035\routes.js","True","1163"
"/api/v1/backend-modules/M036","legacyModuleM036Routes","./modules/M036/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M036\routes.js","True","1164"
"/api/v1/backend-modules/M037","legacyModuleM037Routes","./modules/M037/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M037\routes.js","True","1165"
"/api/v1/backend-modules/M038","legacyModuleM038Routes","./modules/M038/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M038\routes.js","True","1166"
"/api/v1/backend-modules/M039","legacyModuleM039Routes","./modules/M039/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M039\routes.js","True","1167"
"/api/v1/backend-modules/M040","legacyModuleM040Routes","./modules/M040/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M040\routes.js","True","1168"
"/api/v1/backend-modules/M042","legacyModuleM042Routes","./modules/M042/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M042\routes.js","True","1169"
"/api/v1/backend-modules/M043","legacyModuleM043Routes","./modules/M043/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M043\routes.js","True","1170"
"/api/v1/backend-modules/M044","legacyModuleM044Routes","./modules/M044/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M044\routes.js","True","1171"
"/api/v1/backend-modules/M045","legacyModuleM045Routes","./modules/M045/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M045\routes.js","True","1172"
"/api/v1/backend-modules/M046","legacyModuleM046Routes","./modules/M046/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M046\routes.js","True","1173"
