"Project","ProjectPath","OwningWorktree","Branch","HEAD","Classification"
"ROOT_MAIN","C:\Users\DIYA GOEL\Downloads\EBDESIGN","C:/Users/DIYA GOEL/Downloads/EBDESIGN","codex/production-reconcile-auth-geo","dbd746f31fbab24dc070e2dfdb9e865c4e6605f7","INSIDE_GIT_WORKTREE"
"ACTIVE_PROJECT","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_ACTIVE_PROJECT\current","C:/Users/DIYA GOEL/Downloads/EBDESIGN","codex/production-reconcile-auth-geo","dbd746f31fbab24dc070e2dfdb9e865c4e6605f7","INSIDE_GIT_WORKTREE"
"UNIFIED_PROJECT","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_UNIFIED_PROJECT\current","C:/Users/DIYA GOEL/Downloads/EBDESIGN","codex/production-reconcile-auth-geo","dbd746f31fbab24dc070e2dfdb9e865c4e6605f7","INSIDE_GIT_WORKTREE"
"MERGE_LAB","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_MERGE_LAB","C:/Users/DIYA GOEL/Downloads/EBDESIGN","codex/production-reconcile-auth-geo","dbd746f31fbab24dc070e2dfdb9e865c4e6605f7","INSIDE_GIT_WORKTREE"
"GITHUB_PROJECT_COPY","C:\Users\DIYA GOEL\Downloads\EBDESIGN\New folder\GitHub\AFRERA-EBDESIGN-project","C:/Users/DIYA GOEL/Downloads/EBDESIGN","codex/production-reconcile-auth-geo","dbd746f31fbab24dc070e2dfdb9e865c4e6605f7","INSIDE_GIT_WORKTREE"
