"Project","BackendExists","BackendPackage","BackendIndex","FrontendExists","FrontendPackage","FrontendSrc","ModulesExists","DockerCompose"
"ROOT_MAIN","True","True","True","True","True","True","True","True"
"ACTIVE_PROJECT","True","False","True","True","False","True","True","True"
"UNIFIED_PROJECT","True","False","True","True","False","True","True","True"
"MERGE_LAB","False","False","False","False","False","False","False","False"
"GITHUB_PROJECT_COPY","True","True","True","True","True","True","True","True"
