"Project","Type","Path","Exists","GitSeen","GitTop","Branch","HEAD"
"ROOT_MAIN","GIT_WORKTREE","C:\Users\DIYA GOEL\Downloads\EBDESIGN","True","True","C:/Users/DIYA GOEL/Downloads/EBDESIGN","codex/production-reconcile-auth-geo","dbd746f31fbab24dc070e2dfdb9e865c4e6605f7"
"ACTIVE_PROJECT","PARALLEL_PROJECT","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_ACTIVE_PROJECT\current","True","True","C:/Users/DIYA GOEL/Downloads/EBDESIGN","codex/production-reconcile-auth-geo","dbd746f31fbab24dc070e2dfdb9e865c4e6605f7"
"UNIFIED_PROJECT","PARALLEL_PROJECT","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_UNIFIED_PROJECT\current","True","True","C:/Users/DIYA GOEL/Downloads/EBDESIGN","codex/production-reconcile-auth-geo","dbd746f31fbab24dc070e2dfdb9e865c4e6605f7"
"MERGE_LAB","PARALLEL_LAB","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_MERGE_LAB","True","True","C:/Users/DIYA GOEL/Downloads/EBDESIGN","codex/production-reconcile-auth-geo","dbd746f31fbab24dc070e2dfdb9e865c4e6605f7"
"GITHUB_PROJECT_COPY","PARALLEL_PROJECT","C:\Users\DIYA GOEL\Downloads\EBDESIGN\New folder\GitHub\AFRERA-EBDESIGN-project","True","True","C:/Users/DIYA GOEL/Downloads/EBDESIGN/New folder/GitHub/AFRERA-EBDESIGN-project","audit/ui-api-fix","2a7a2c2da2b66d6dce13f09eb7e75319d6b4d266"
