"Family","File","RelativePath","Size","Mounted"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\assetAccountingRoutes.js","routes\assetAccountingRoutes.js","3839","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\auditLogRoutes.js","routes\auditLogRoutes.js","489","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\auditRoutes.js","routes\auditRoutes.js","3539","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\auditTrail.js","routes\auditTrail.js","311","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\authorizationDomainRoutes.js","routes\authorizationDomainRoutes.js","1383","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\authRoutes.js","routes\authRoutes.js","1377","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\automation.js","routes\automation.js","310","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\backupRoutes.js","routes\backupRoutes.js","483","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\biometric.js","routes\biometric.js","308","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\blockchainTrace.js","routes\blockchainTrace.js","321","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\blockchainVerificationDomainRoutes.js","routes\blockchainVerificationDomainRoutes.js","910","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\blockchainVerificationRoutes.js","routes\blockchainVerificationRoutes.js","666","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\bulkOperationRoutes.js","routes\bulkOperationRoutes.js","504","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\bulkOrderDomainRoutes.js","routes\bulkOrderDomainRoutes.js","1728","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\bulkOrderRoutes.js","routes\bulkOrderRoutes.js","1823","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\bulkOrders.js","routes\bulkOrders.js","311","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\buyerTrust.js","routes\buyerTrust.js","2488","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cacheRoutes.js","routes\cacheRoutes.js","480","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\certificationManagement.js","routes\certificationManagement.js","337","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\civilDisruptionDomainRoutes.js","routes\civilDisruptionDomainRoutes.js","1201","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\civilDisruptionRoutes.js","routes\civilDisruptionRoutes.js","2019","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateAdvisory.js","routes\climateAdvisory.js","321","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateAdvisoryRoutes.js","routes\climateAdvisoryRoutes.js","645","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateMonitoringDomainRoutes.js","routes\climateMonitoringDomainRoutes.js","2364","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateMonitoringRoutes.js","routes\climateMonitoringRoutes.js","651","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateRouteSupport.js","routes\climateRouteSupport.js","4700","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cloudManagementRoutes.js","routes\cloudManagementRoutes.js","13356","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\coldChainMonitoring.js","routes\coldChainMonitoring.js","330","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\coldStorageDomainRoutes.js","routes\coldStorageDomainRoutes.js","2239","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\coldStorageRoutes.js","routes\coldStorageRoutes.js","633","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\communityManagementDomainRoutes.js","routes\communityManagementDomainRoutes.js","2327","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\communityManagementRoutes.js","routes\communityManagementRoutes.js","657","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\communityRoutes.js","routes\communityRoutes.js","12325","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\companyDomainRoutes.js","routes\companyDomainRoutes.js","1039","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\companyRoutes.js","routes\companyRoutes.js","2268","True"
