"Project","Path","OwnDotGit","GitTop","Branch","HEAD","Origin"
"ROOT_MAIN","C:\Users\DIYA GOEL\Downloads\EBDESIGN","True","C:/Users/DIYA GOEL/Downloads/EBDESIGN","codex/production-reconcile-auth-geo","dbd746f31fbab24dc070e2dfdb9e865c4e6605f7","https://github.com/subhesco-bit/AFRERA-EBDESIGN-project.git"
"ACTIVE_PROJECT","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_ACTIVE_PROJECT\current","False","C:/Users/DIYA GOEL/Downloads/EBDESIGN","codex/production-reconcile-auth-geo","dbd746f31fbab24dc070e2dfdb9e865c4e6605f7","https://github.com/subhesco-bit/AFRERA-EBDESIGN-project.git"
"UNIFIED_PROJECT","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_UNIFIED_PROJECT\current","False","C:/Users/DIYA GOEL/Downloads/EBDESIGN","codex/production-reconcile-auth-geo","dbd746f31fbab24dc070e2dfdb9e865c4e6605f7","https://github.com/subhesco-bit/AFRERA-EBDESIGN-project.git"
"MERGE_LAB","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_MERGE_LAB","False","C:/Users/DIYA GOEL/Downloads/EBDESIGN","codex/production-reconcile-auth-geo","dbd746f31fbab24dc070e2dfdb9e865c4e6605f7","https://github.com/subhesco-bit/AFRERA-EBDESIGN-project.git"
"GITHUB_PROJECT_COPY","C:\Users\DIYA GOEL\Downloads\EBDESIGN\New folder\GitHub\AFRERA-EBDESIGN-project","True","C:/Users/DIYA GOEL/Downloads/EBDESIGN/New folder/GitHub/AFRERA-EBDESIGN-project","audit/ui-api-fix","2a7a2c2da2b66d6dce13f09eb7e75319d6b4d266","https://github.com/subhesco-bit/AFRERA-EBDESIGN-project.git"
