"Prefix","Variable","ImportKnown","ImportType","ImportPath","ResolvedFile","IndexLine"
"/api/v1/backend-modules/M041","M041VillageERPRoutes","True","DIRECT_REQUIRE","./modules/M041/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","1120"
"/api/v1/backend-modules/M002","finalBatchModuleM002Routes","True","DIRECT_REQUIRE","./modules/M002/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M002\routes.js","1121"
"/api/v1/backend-modules/M003","finalBatchModuleM003Routes","True","DIRECT_REQUIRE","./modules/M003/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M003\routes.js","1122"
"/api/v1/backend-modules/M004","finalBatchModuleM004Routes","True","DIRECT_REQUIRE","./modules/M004/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M004\routes.js","1123"
"/api/v1/backend-modules/M005","finalBatchModuleM005Routes","True","DIRECT_REQUIRE","./modules/M005/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M005\routes.js","1124"
"/api/v1/backend-modules/M006","finalBatchModuleM006Routes","True","DIRECT_REQUIRE","./modules/M006/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M006\routes.js","1125"
"/api/v1/backend-modules/M007","finalBatchModuleM007Routes","True","DIRECT_REQUIRE","./modules/M007/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","1126"
"/api/v1/backend-modules/M008","finalBatchModuleM008Routes","True","DIRECT_REQUIRE","./modules/M008/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M008\routes.js","1127"
"/api/v1/backend-modules/M009","finalBatchModuleM009Routes","True","DIRECT_REQUIRE","./modules/M009/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M009\routes.js","1128"
"/api/v1/backend-modules/M010","finalBatchModuleM010Routes","True","DIRECT_REQUIRE","./modules/M010/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M010\routes.js","1129"
