"Family","File","RelativePath","Name","SizeBytes","Lines","SHA256","Mounted"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiOperationIntelligenceRoutes.js","routes\aiOperationIntelligenceRoutes.js","aiOperationIntelligenceRoutes.js","10178","366","DE889CD51F2CB33C7FB72D29CFFC0E089B8E98FF8A1479DB53C12672C5A66C93","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiSelfHealingDomainRoutes.js","routes\aiSelfHealingDomainRoutes.js","aiSelfHealingDomainRoutes.js","2506","50","F6080FF651902B187D09EE2BFD365F614C911D041C6292A678375483B0552116","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiSelfHealingRoutes.js","routes\aiSelfHealingRoutes.js","aiSelfHealingRoutes.js","8343","326","8B8A8CA749D93014611ACA8AD3B7A53945C0A52485D8508D5DCC01A374BD0EDA","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiTrainingEvaluationRoutes.js","routes\aiTrainingEvaluationRoutes.js","aiTrainingEvaluationRoutes.js","6380","234","6F88CBE55ABC2DC8F35FB9EDAA8BE41DDE103DAF12E5F96998A58D3852559D4E","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\analyticsReportRoutes.js","routes\analyticsReportRoutes.js","analyticsReportRoutes.js","645","38","458CDD727A35F2EEE5EF0984BF5CCDEEFBDEE73DA51192E330AB55432000E8C5","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\analyticsRoutes.js","routes\analyticsRoutes.js","analyticsRoutes.js","492","23","30467D82B6F91935D2681DCC92092B12CA9D6B40B294275C573DEA5A03EEC3FC","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\animalHealthDomainRoutes.js","routes\animalHealthDomainRoutes.js","animalHealthDomainRoutes.js","2581","52","A91C0928AC00294945DE7E51777F0E79F855EC43253505646FB85FFE96A37021","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\animalHealthRoutes.js","routes\animalHealthRoutes.js","animalHealthRoutes.js","13036","412","058993172C8FC954C251C755A2DDC4C649666A2D2D6384C7EB1BF7FC2B2ECECE","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\apiCompatibilityRoutes.js","routes\apiCompatibilityRoutes.js","apiCompatibilityRoutes.js","648","38","031E0D1228AA784F2E3614F05765E7F2EC958D38A8A76C715760FEC3C9151940","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\apicultureRoutes.js","routes\apicultureRoutes.js","apicultureRoutes.js","2728","77","07004E40D97C963DE01E1E2B6977FAC54482478BDA99140CFDFD20D9A38344C4","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\apiDocumentationRoutes.js","routes\apiDocumentationRoutes.js","apiDocumentationRoutes.js","513","23","DC8150C5AC1EA6DE0DC711C141B5A6B0F062FF46CA48AB068A24FAC1956FCBBC","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\apiWarningRoutes.js","routes\apiWarningRoutes.js","apiWarningRoutes.js","630","38","13EC83C92CA3F495EC4A93BF409D049A30D2CDA569E91AAD6E865AF88336E2B0","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ar.js","routes\ar.js","ar.js","294","20","D4207409FB15A9186F0F8D26BCFECD3163DCEF62E227B9AF21C4808A24D93B7E","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\artificialScientistRoutes.js","routes\artificialScientistRoutes.js","artificialScientistRoutes.js","2801","35","18276EB26F5EDCAEC6DBB90298E90D2B8C70131B8CAD562240C6856035E63610","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\assetAccountingDomainRoutes.js","routes\assetAccountingDomainRoutes.js","assetAccountingDomainRoutes.js","1993","39","9893C72F277C2B841390ACAD0EAE23B9364941F866CFFB25C36C2D877E2E03F1","True"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\assetAccountingRoutes.js","routes\assetAccountingRoutes.js","assetAccountingRoutes.js","3839","101","15C5E42521E4DE3CF08B58E987A79F1F51BC22A2DE23D0765438F8988B863DFA","True"
