"FromFile","ToFile","ImportPath","ImportKind","Resolution","CycleSeen","MinDepth","Occurrences"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M101\service.js","","","","DEPTH_LIMIT","False","13","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M016\service.js","","","","DEPTH_LIMIT","False","13","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\dual-use\authService.js","","","","DEPTH_LIMIT","False","13","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\aiService\recommendationEngine.js","","","","DEPTH_LIMIT","False","13","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M002\service.js","","","","DEPTH_LIMIT","False","13","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\auth.js","","","","DEPTH_LIMIT","False","13","54"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\outcomeResolver.js","","","","DEPTH_LIMIT","False","13","312"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\aiCopilotService.js","","","","DEPTH_LIMIT","False","13","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M074\service.js","","","","DEPTH_LIMIT","False","13","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M104\service.js","","","","DEPTH_LIMIT","False","13","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\productService.js","","","","DEPTH_LIMIT","False","13","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\decisionSupportRoutes.js","","","","DEPTH_LIMIT","False","13","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M060\service.js","","","","DEPTH_LIMIT","False","13","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M083\service.js","","","","DEPTH_LIMIT","False","13","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M072\service.js","","","","DEPTH_LIMIT","False","13","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\mcda.js","","","","DEPTH_LIMIT","False","13","312"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M085\service.js","","","","DEPTH_LIMIT","False","13","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\aiService\fraudDetection.js","","","","DEPTH_LIMIT","False","13","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M055\service.js","","","","DEPTH_LIMIT","False","13","312"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M052\service.js","","","","DEPTH_LIMIT","False","13","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\errorHandler.js","","","","DEPTH_LIMIT","False","13","626"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\signalBus.js","","","","DEPTH_LIMIT","False","13","3421"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\inputValidation.js","","","","DEPTH_LIMIT","False","13","20"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\aiService.js","","","","DEPTH_LIMIT","False","13","625"
